52,7,56,0,0
8,28,6,21,0,1
9,26,7,19,2,1
10,23,8,16,3,1
11,17,7,17,3,1
12,15,7,22,3,1
13,12,8,21,4,1
14,10,9,24,4,1
15,10,9,19,4,1
16,9,10,20,4,1
17,5,9,32,4,2
18,4,11,60,5,2
19,3,13,75,5,2
20,3,14,70,5,2
21,3,14,65,5,2
22,2,14,94,6,1
23,2,13,89,6,1
24,2,14,109,6,1
25,2,14,104,6,1
26,2,14,99,6,1
27,2,13,94,6,1
28,3,13,114,6,1
29,4,12,71,6,1
30,5,11,60,6,1
31,6,11,53,6,1
32,7,12,39,6,1
33,8,12,29,6,1
34,10,10,20,6,1
35,11,10,24,5,2
36,12,11,22,5,1
37,13,11,13,5,1
10,9,53,3,1
38,10,12,19,5,2
39,9,13,18,5,2
40,7,12,20,5,2
41,8,13,33,5,2
42,9,13,24,5,2
43,7,11,30,5,3
44,7,11,46,5,3
45,8,12,67,5,2
46,9,11,51,5,2
47,9,11,57,5,2
48,9,11,63,5,2
49,9,12,69,5,2
50,11,13,64,5,2
51,13,14,47,5,2
52,16,15,35,5,2
53,18,13,23,5,2
54,20,11,24,5,2
55,21,8,27,5,2
56,18,7,36,5,2
57,18,9,39,5,2
58,15,8,44,6,1
59,17,6,46,6,1
60,18,7,48,6,2
61,20,7,35,6,2
62,17,5,38,7,1
63,17,4,39,7,1
64,16,4,47,7,1
65,16,6,50,7,1
66,18,6,39,7,1
67,21,6,33,7,1
68,22,6,29,7,1
69,20,5,36,6,2
70,21,6,33,6,2
71,19,6,38,6,1
72,21,7,34,6,2
73,20,7,32,6,2
74,19,6,31,6,2
75,15,8,53,6,2
76,15,8,40,6,2
77,16,9,47,7,1
78,19,10,36,7,1
79,20,11,30,7,1
80,18,12,27,6,2
81,17,14,29,6,2
82,16,14,29,6,2
83,19,14,25,6,2
84,17,12,25,7,2
85,17,12,31,7,2
86,15,12,26,7,2
87,12,10,35,7,3
88,13,10,44,7,3
89,14,11,53,7,1
90,16,10,44,7,1
91,17,9,40,7,1
92,16,9,52,7,2
93,15,8,47,7,1
94,15,9,46,7,1
95,13,9,55,7,1
96,14,7,45,7,1
97,14,8,48,7,1
98,15,6,39,7,1
99,15,7,42,7,1
100,12,8,49,7,2
101,11,7,49,7,2
102,9,8,55,7,1
103,6,9,78,7,2
104,8,9,73,7,2
105,9,9,56,7,2
106,9,7,57,7,2
107,10,7,65,7,2
108,13,7,52,7,2
109,14,5,38,7,2
110,14,5,45,7,2
111,15,5,44,7,2
112,15,7,43,7,2
113,16,4,32,7,2
114,18,4,38,7,2
115,16,5,39,7,2
116,17,4,32,7,2
117,14,6,43,7,2
118,16,7,35,7,2
119,16,5,34,7,2
120,19,4,34,7,2
121,20,3,30,7,2
122,16,5,46,7,2
123,15,6,41,7,1
124,14,7,43,7,1
125,16,9,39,7,1
126,19,10,29,7,1
127,20,12,25,7,1
128,21,9,21,7,1
129,23,7,25,7,1
130,23,7,25,7,2
131,22,5,25,7,2
132,20,7,27,7,2
133,22,8,22,7,2
134,22,9,18,7,2
135,17,6,23,7,2
136,16,6,38,7,2
137,15,7,37,7,2
138,14,7,39,7,2
139,14,7,42,7,2
140,14,8,46,7,2
141,18,8,34,7,2
142,20,6,26,7,2
143,23,5,24,7,2
144,25,6,18,7,2
145,17,7,24,7,2
146,16,7,28,7,3
147,19,7,21,7,2
148,16,7,23,7,3
149,16,7,20,7,2
150,14,9,29,7,2
151,14,10,20,7,2
152,9,10,32,7,2
153,7,11,44,7,1
154,8,12,46,7,1
155,9,13,42,7,1
156,9,13,43,7,1
157,11,12,39,7,1
158,12,12,40,7,1
159,11,12,36,7,1
160,6,11,63,7,2
161,6,12,91,7,2
162,6,12,87,7,1
163,6,10,67,7,1
164,6,10,79,7,1
165,6,10,82,7,1
166,6,11,86,7,1
167,6,13,89,7,1
168,6,13,103,7,1
169,7,13,81,7,1
170,6,11,85,7,2
171,6,10,96,7,2
172,6,10,108,7,2
173,6,9,111,7,2
174,7,9,123,7,2
day,number of animals,number of grass,avg energy,length of life,avg children
1,10,2,95,0,0
2,10,3,90,0,0
3,10,5,90,0,0
4,11,6,85,0,0
5,13,8,76,0,0
6,15,8,60,0,0
7,18,8,50,0,0
8,22,7,39,0,0
9,26,6,32,0,1
10,31,6,27,3,1
11,33,7,20,4,1
12,30,6,16,5,1
13,26,5,17,4,1
14,25,6,17,4,1
15,20,6,17,4,1
16,17,5,20,4,1
17,13,7,36,5,1
18,12,9,35,4,1
19,10,10,34,5,1
20,9,10,33,5,1
21,9,11,39,5,1
22,10,12,35,5,1
23,10,13,36,5,1
24,11,13,27,5,1
25,10,13,22,5,1
26,10,12,26,5,1
27,10,12,38,5,2
28,11,12,34,5,2
29,10,10,39,6,1
30,11,10,45,6,1
31,9,11,50,6,2
32,8,11,52,6,1
33,9,12,53,6,1
34,10,14,48,6,2
35,12,14,34,6,2
36,15,15,31,6,2
37,16,12,23,6,2
38,17,13,32,6,2
39,17,13,28,7,1
14,9,40,3,1
day,number of animals,number of grass,avg energy,length of life,avg children
1,10,2,95,0,0
2,10,4,90,0,0
3,13,5,85,0,0
4,16,6,60,0,0
5,19,6,44,0,0
6,23,8,37,0,0
7,28,7,25,0,1
8,34,7,18,0,1
9,32,7,13,2,1
10,21,8,17,3,1
11,19,8,18,3,1
12,17,7,19,4,1
13,18,7,17,4,1
14,12,5,23,4,2
15,11,5,32,4,2
16,12,6,32,4,2
17,10,7,35,4,2
18,10,8,31,4,1
19,12,8,28,4,1
20,14,6,22,4,1
21,14,7,27,4,1
22,11,7,30,4,2
23,13,7,22,4,2
24,13,7,16,4,2
25,12,8,17,4,2
26,8,7,19,5,2
27,6,8,30,5,3
28,6,9,31,5,3
15,6,33,2,1
day,number of animals,number of grass,avg energy,length of life,avg children
1,11,2,95,0,0
2,12,4,81,0,0
3,13,6,69,0,0
4,15,8,59,0,0
5,18,7,46,0,0
6,20,6,41,0,0
7,22,5,37,0,1
8,22,5,35,2,1
9,19,6,49,4,1
10,22,5,36,4,1
11,24,6,35,4,1
18,5,53,1,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,10,2,95,0,0
2,11,3,90,0,0
3,12,5,81,0,0
4,14,6,69,0,0
5,17,7,54,0,0
6,20,7,40,0,0
7,26,8,29,0,1
8,29,8,17,0,1
17,5,59,0,0
9,29,7,16,1,1
10,28,8,12,3,1
11,24,9,9,3,1
12,14,9,16,3,1
13,11,10,28,4,1
14,12,10,23,4,1
15,12,9,20,4,1
16,12,8,20,5,1
17,10,8,23,5,1
18,7,9,29,5,1
19,5,9,37,5,2
20,5,9,42,5,2
21,4,9,60,5,1
22,3,9,92,5,0
23,3,10,104,5,0
24,3,10,99,5,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,11,2,95,0,0
2,12,4,81,0,0
3,14,6,69,0,0
4,17,7,54,0,0
5,20,8,42,0,0
6,25,10,34,0,1
7,30,10,22,0,1
8,28,9,21,2,1
9,22,8,27,3,1
10,21,8,27,3,1
11,19,9,25,3,1
12,16,9,30,3,2
13,17,9,30,3,2
14,15,10,29,3,2
15,10,11,51,4,2
16,12,13,41,4,2
17,14,13,29,4,2
18,15,13,25,4,2
19,16,12,26,4,1
20,17,11,24,4,1
21,14,10,30,4,2
22,14,11,35,4,2
17,9,38,2,1
23,12,12,34,4,2
day,number of animals,number of grass,avg energy,length of life,avg children
1,10,2,95,0,0
2,10,4,90,0,0
3,10,4,85,0,0
4,11,5,85,0,0
5,12,6,72,0,0
6,13,5,61,0,0
7,16,6,59,0,0
8,19,8,46,0,0
9,23,9,33,0,0
10,27,9,25,0,1
11,27,5,21,3,1
12,27,5,27,3,1
13,28,7,21,3,1
14,27,9,17,4,1
15,23,10,16,5,1
16,18,12,18,5,1
17,13,12,19,5,1
18,10,13,31,5,1
19,7,13,40,5,1
20,6,11,59,5,1
21,4,11,109,6,1
22,3,12,141,6,0
15,8,53,2,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,33,2,95,0,0
2,37,4,81,0,0
3,44,6,67,0,0
4,52,7,51,0,0
5,60,9,39,0,0
6,69,10,29,0,1
7,77,10,22,2,1
8,76,9,18,3,1
9,62,10,18,3,1
10,44,11,26,3,1
11,39,13,25,4,1
12,33,13,24,4,1
13,25,15,30,4,1
14,19,16,36,4,1
15,18,17,36,4,1
16,14,18,45,5,0
17,14,20,44,5,0
18,13,21,42,5,0
19,12,23,45,5,0
20,12,25,40,5,0
21,9,25,49,5,0
22,9,27,55,5,0
23,9,29,50,5,0
33,14,42,3,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,30,2,95,0,0
2,30,4,90,0,0
3,33,6,85,0,0
4,37,8,72,0,0
32,5,85,0,0
5,42,9,59,0,0
6,47,11,48,0,0
7,52,12,38,0,0
8,59,14,32,1,0
9,62,13,23,3,1
10,59,14,24,3,1
11,57,13,22,3,1
12,53,12,21,3,1
13,46,14,22,4,1
14,37,15,23,4,1
15,33,17,21,4,1
16,25,18,26,4,1
17,21,20,33,5,1
18,24,21,23,5,1
19,20,23,23,5,1
20,18,24,23,5,1
21,18,26,24,5,1
22,19,25,15,5,1
23,14,27,25,5,1
24,14,28,25,6,1
25,14,30,25,6,1
26,16,31,16,6,1
27,16,33,12,6,1
28,14,34,11,5,2
29,10,34,15,6,2
30,8,35,27,6,1
31,6,35,40,6,2
32,6,36,52,6,2
33,6,37,55,6,2
34,6,38,58,6,2
35,5,40,76,6,2
36,4,42,90,7,1
37,4,42,85,7,1
38,4,43,105,7,1
39,4,45,112,7,1
40,4,47,107,7,1
41,4,49,102,7,1
42,4,50,97,7,1
43,4,52,105,7,1
44,4,54,100,7,1
45,4,55,95,7,1
46,4,57,102,7,1
47,4,59,97,7,1
48,4,61,92,7,1
49,4,63,87,7,1
50,4,64,82,7,1
51,3,64,122,7,0
52,3,65,150,7,0
53,2,66,247,7,1
54,2,68,267,7,1
55,2,70,262,7,1
56,2,71,257,7,1
57,2,72,252,7,1
58,2,73,247,7,1
59,2,73,242,7,1
60,2,73,262,7,1
61,2,74,307,7,1
62,2,75,302,7,1
day,number of animals,number of grass,avg energy,length of life,avg children
1,30,2,95,0,0
2,35,4,90,0,0
3,40,6,72,0,0
35,4,85,0,0
4,49,7,58,0,0
5,60,7,43,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,10,2,95,0,0
2,12,4,90,0,0
3,14,6,70,0,0
12,4,85,0,0
4,17,8,55,0,0
5,20,9,40,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,17,1,95,0,0
2,20,1,78,0,0
3,23,2,64,0,0
4,29,4,51,0,0
5,37,4,35,0,0
25,2,64,0,0
6,45,3,25,0,1
7,50,3,20,1,1
8,45,2,18,2,1
9,40,3,20,3,1
10,38,2,20,3,1
11,33,3,17,3,1
12,29,4,16,3,1
day,number of animals,number of grass,avg energy,length of life,avg children
1,17,2,95,0,0
2,22,4,78,0,0
3,27,5,55,0,0
4,33,7,42,0,0
5,41,6,29,0,1
6,52,6,21,0,1
7,60,2,13,2,1
8,54,2,13,3,1
9,43,2,12,3,1
10,38,2,10,3,1
11,28,4,12,3,2
12,21,6,11,3,2
13,15,6,13,4,2
14,15,5,15,4,2
15,13,6,15,4,2
16,9,8,24,4,2
17,6,8,32,4,2
18,5,10,54,4,2
19,5,12,49,4,2
20,5,12,44,4,2
21,6,13,49,4,2
22,7,14,44,4,2
23,7,14,40,4,2
24,7,14,49,4,2
22,7,34,2,1
day,number of animals,number of grass,avg energy,length of life,avg children
1,10,2,95,0,0
2,11,4,90,0,0
3,12,6,76,0,0
4,13,6,65,0,0
5,15,7,63,0,0
6,19,9,53,0,0
7,22,9,36,0,0
14,6,68,0,0
8,26,10,35,2,1
9,31,9,22,2,1
10,35,6,18,5,1
11,37,4,20,4,1
12,38,4,16,4,1
13,30,4,19,4,1
14,30,5,16,4,1
15,24,5,17,4,1
16,19,5,19,4,2
17,21,6,18,4,2
18,18,5,17,4,1
19,13,6,26,4,2
20,10,8,35,4,2
21,7,10,46,5,2
22,6,11,50,5,2
23,6,12,53,5,2
day,number of animals,number of grass,avg energy,length of life,avg children
1,17,2,95,0,0
2,22,4,78,0,0
3,28,6,55,0,0
4,34,5,38,0,0
5,42,3,30,0,1
6,52,3,22,0,1
7,59,3,14,0,1
8,53,2,12,2,1
9,40,4,16,3,2
10,35,2,13,4,1
11,26,3,21,4,2
12,26,4,20,4,2
13,23,6,20,4,2
14,22,5,16,4,2
15,20,4,23,4,2
16,21,5,22,4,2
32,3,30,2,1
day,number of animals,number of grass,avg energy,length of life,avg children
1,16,2,95,0,0
2,19,4,84,0,0
3,23,5,65,0,0
4,28,5,49,0,0
5,34,5,37,0,0
6,41,4,27,0,1
7,46,4,20,1,1
8,50,4,14,2,1
9,52,3,10,3,1
10,43,2,9,4,1
11,35,4,7,3,1
12,21,5,9,4,2
13,12,6,12,4,2
14,10,7,16,4,2
15,8,8,22,4,2
16,5,10,41,5,2
17,5,12,36,5,2
18,5,13,31,5,2
25,5,32,2,1
19,5,14,36,5,2
20,5,14,31,5,2
21,4,15,59,5,3
22,4,15,54,5,3
day,number of animals,number of grass,avg energy,length of life,avg children
1,17,1,95,0,0
2,20,2,78,0,0
3,25,2,62,0,0
4,31,3,46,0,0
5,38,2,32,0,1
6,47,3,22,0,1
7,53,2,13,3,1
8,53,1,9,2,1
9,33,2,16,3,2
35,2,41,0,0
10,28,3,16,4,1
day,number of animals,number of grass,avg energy,length of life,avg children
1,18,2,95,0,0
2,23,3,74,0,0
3,30,5,55,0,0
4,36,5,37,0,1
5,43,4,28,0,1
6,51,4,20,0,1
7,50,2,14,2,1
8,40,1,17,3,1
9,29,2,21,3,1
35,3,40,0,0
10,25,3,29,4,1
11,22,4,29,4,1
12,25,5,25,4,1
13,29,6,19,4,1
14,29,8,14,4,1
15,20,7,15,4,1
16,17,7,19,4,2
17,12,7,34,4,2
18,13,8,39,4,2
19,14,10,35,5,1
20,16,9,25,5,1
21,14,9,30,5,1
22,13,10,40,5,1
23,14,9,36,5,1
24,15,9,33,5,1
25,17,10,29,5,1
26,16,11,24,5,1
27,16,10,23,5,1
28,14,11,29,5,2
29,12,9,24,5,2
30,8,10,51,5,1
31,7,9,54,5,1
32,7,9,63,5,1
33,6,10,77,5,2
34,6,10,72,5,2
35,7,10,67,5,2
36,9,10,59,5,2
37,11,10,41,5,2
38,13,8,29,5,2
39,16,7,27,5,2
40,19,5,23,5,2
41,20,6,24,5,2
42,18,8,25,5,1
43,18,7,22,5,1
44,18,7,24,5,2
45,20,7,21,5,2
46,18,5,23,5,2
47,15,7,46,5,2
48,18,7,32,5,2
49,22,7,29,6,1
50,25,7,22,6,1
51,29,6,18,5,2
52,30,4,16,5,2
53,29,5,22,6,1
54,29,4,17,5,1
55,23,4,23,5,2
56,20,4,25,6,1
57,15,3,34,6,1
58,17,4,33,6,1
59,14,4,34,6,1
60,14,5,33,6,1
61,12,6,39,6,2
62,13,7,35,6,2
day,number of animals,number of grass,avg energy,length of life,avg children
1,31,2,95,0,0
2,32,4,86,0,0
3,35,5,79,0,0
4,40,7,68,0,0
5,46,9,55,0,0
6,53,10,43,0,0
7,61,11,33,0,0
8,69,13,24,0,1
45,7,60,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,32,2,95,0,0
2,34,4,84,0,0
3,38,6,74,0,0
4,44,5,61,0,0
5,50,7,51,0,0
6,58,8,40,0,0
42,5,67,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,31,2,95,0,0
2,33,4,86,0,0
3,35,5,76,0,0
4,40,7,68,0,0
34,4,81,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,32,2,95,0,0
2,37,3,84,0,0
3,45,5,69,0,0
4,53,7,51,0,0
41,4,74,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,32,2,95,0,0
2,34,3,84,0,0
3,39,5,75,0,0
4,45,6,60,0,0
5,51,7,48,0,0
6,59,8,39,0,0
7,68,10,29,0,0
8,77,12,21,4,1
9,78,9,14,3,1
10,60,10,19,3,1
11,39,11,25,4,1
12,33,12,27,4,1
13,27,14,34,4,1
14,27,16,31,5,1
15,33,16,21,5,1
16,36,16,16,5,1
17,34,17,15,4,1
45,10,38,2,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,31,2,95,0,0
2,35,4,86,0,0
3,40,6,72,0,0
35,4,84,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,30,2,95,0,0
2,30,4,90,0,0
3,31,6,85,0,0
4,33,8,77,0,0
5,36,9,67,0,0
32,5,82,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,31,2,95,0,0
2,32,4,86,0,0
3,34,6,79,0,0
4,38,7,69,0,0
5,44,9,58,0,0
6,51,11,45,0,0
7,59,11,35,1,0
8,68,12,28,3,1
9,74,14,20,3,1
10,67,13,16,3,1
11,62,14,16,3,1
12,43,16,19,3,1
13,32,16,23,4,1
14,26,17,27,4,1
15,24,19,28,4,1
16,20,21,33,5,0
44,12,42,2,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,17,2,95,0,0
2,20,4,78,0,0
3,22,3,62,0,0
4,26,2,55,0,0
5,31,3,46,0,0
6,37,3,33,0,1
7,47,2,25,0,1
8,54,1,17,0,1
9,52,1,15,3,1
10,48,2,13,4,1
11,45,2,10,4,1
12,38,3,9,4,1
13,31,2,8,4,1
14,20,4,11,4,2
15,13,6,12,4,2
16,6,6,24,5,2
17,5,8,44,5,2
18,5,9,39,5,2
19,4,11,57,5,3
20,3,13,72,5,2
21,3,14,67,5,2
22,3,13,62,5,2
23,3,13,90,5,2
24,3,14,85,5,2
25,3,13,80,5,2
26,3,12,92,5,2
27,2,12,158,5,3
28,2,12,178,5,3
19,6,54,3,1
day,number of animals,number of grass,avg energy,length of life,avg children
1,5,2,95,0,0
2,6,4,90,0,0
3,7,6,70,0,0
4,8,8,55,0,0
5,9,9,43,0,0
6,11,11,38,0,0
7,14,12,26,0,1
8,15,11,19,0,1
9,12,11,29,2,1
10,12,11,29,3,1
11,11,11,28,4,1
12,8,11,35,3,2
13,5,11,63,4,1
14,4,11,87,5,1
15,5,12,82,5,1
16,6,11,60,5,1
17,7,12,53,5,1
18,8,12,41,5,1
8,9,52,2,0
19,9,12,43,5,2
